Wavelength,Flux
4766.3325, 1.9610e+02
4776.3350, 2.0800e+02
4786.3380, 2.0140e+02
4796.3403, 2.0810e+02
4806.3433, 2.0400e+02
4816.3457, 2.0950e+02
4826.3480, 2.0280e+02
4836.3510, 2.0240e+02
4846.3535, 1.9740e+02
4856.3564, 1.8350e+02
4866.3590, 1.6290e+02
4876.3620, 1.8350e+02
4886.3643, 1.9190e+02
4896.3667, 1.9650e+02
4906.3696, 2.0120e+02
4916.3720, 1.9010e+02
4926.3750, 1.9010e+02
4936.3774, 1.8930e+02
4946.3804, 2.0630e+02
4956.3830, 1.9310e+02
4966.3857, 2.0220e+02
4976.3880, 2.0230e+02
4986.3906, 1.8710e+02
4996.3936, 1.9750e+02
5006.3960, 1.8620e+02
5016.3990, 1.8170e+02
5026.4014, 1.8990e+02
5036.4043, 1.9390e+02
5046.4067, 1.8740e+02
5056.4097, 1.9980e+02
5066.4120, 1.9660e+02
5076.4146, 1.9110e+02
5086.4175, 1.9240e+02
5096.4200, 1.9210e+02
5106.4230, 1.9520e+02
5116.4253, 2.0020e+02
5126.4280, 1.8720e+02
5136.4307, 1.8660e+02
5146.4336, 1.8790e+02
5156.4360, 1.9050e+02
5166.4385, 1.6730e+02
5176.4414, 1.7300e+02
5186.4440, 1.6580e+02
5196.4470, 1.8330e+02
5206.4490, 1.8360e+02
5216.4520, 1.9110e+02
5226.4546, 1.8280e+02
5236.4575, 1.8990e+02
5246.4600, 1.9630e+02
5256.4630, 1.9350e+02
5266.4653, 1.6780e+02
5276.4680, 1.8330e+02
5286.4707, 1.9020e+02
5296.4730, 1.9230e+02
5306.4760, 1.9570e+02
5316.4785, 1.9680e+02
5326.4814, 1.7750e+02
5336.4840, 1.9280e+02
5346.4870, 1.8630e+02
5356.4893, 1.9950e+02
5366.4920, 1.8760e+02
5376.4946, 1.8870e+02
5386.4976, 1.9090e+02
5396.5000, 1.8370e+02
5406.5024, 1.7740e+02
5416.5054, 1.8860e+02
5426.5080, 1.8300e+02
5436.5107, 1.8840e+02
5446.5130, 1.8840e+02
5456.5160, 1.9060e+02
5466.5186, 1.8840e+02
5476.5215, 1.8380e+02
5486.5240, 1.8680e+02
5496.5270, 1.9000e+02
5506.5293, 1.8670e+02
5516.5320, 1.8760e+02
5526.5347, 1.8510e+02
5536.5376, 1.8870e+02
5546.5400, 1.9030e+02
5556.5430, 1.9020e+02
5566.5454, 1.8260e+02
5576.5480, 1.8510e+02
5586.5510, 1.7920e+02
5596.5530, 1.8130e+02
5606.5560, 1.8480e+02
5616.5586, 1.8290e+02
5626.5615, 1.8550e+02
5636.5640, 1.8660e+02
5646.5670, 1.8590e+02
5656.5693, 1.8030e+02
5666.5723, 1.8340e+02
5676.5747, 1.8920e+02
5686.5776, 1.8150e+02
5696.5800, 1.8650e+02
5706.5830, 1.7740e+02
5716.5854, 1.8280e+02
5726.5884, 1.8970e+02
5736.5910, 1.8810e+02
5746.5938, 1.8720e+02
5756.5960, 1.8350e+02
5766.5990, 1.8510e+02
5776.6016, 1.8620e+02
5786.6040, 1.7880e+02
5796.6070, 1.8330e+02
5806.6094, 1.8430e+02
5816.6123, 1.8580e+02
5826.6147, 1.8780e+02
5836.6177, 1.8620e+02
5846.6200, 1.8650e+02
5856.6230, 1.7880e+02
5866.6255, 1.8350e+02
5876.6284, 1.8530e+02
5886.6310, 1.7540e+02
5896.6340, 1.6160e+02
5906.6360, 1.8180e+02
5916.6390, 1.7920e+02
5926.6416, 1.8130e+02
5936.6445, 1.8010e+02
5946.6470, 1.7780e+02
5956.6500, 1.7870e+02
5966.6523, 1.8100e+02
5976.6553, 1.7850e+02
5986.6577, 1.7620e+02
5996.6606, 1.7790e+02
6006.6630, 1.7500e+02
6016.6660, 1.7550e+02
6026.6685, 1.7230e+02
6036.6714, 1.7920e+02
6046.6740, 1.7810e+02
6056.6770, 1.7680e+02
6066.6790, 1.7640e+02
6076.6820, 1.7620e+02
6086.6846, 1.7470e+02
6096.6875, 1.7480e+02
6106.6900, 1.7070e+02
6116.6930, 1.7500e+02
6126.6953, 1.7090e+02
6136.6980, 1.6870e+02
6146.7007, 1.7170e+02
6156.7036, 1.7170e+02
6166.7060, 1.6130e+02
6176.7090, 1.7110e+02
6186.7114, 1.7280e+02
6196.7144, 1.7110e+02
6206.7170, 1.7380e+02
6216.7190, 1.6940e+02
6226.7220, 1.7170e+02
6236.7246, 1.6700e+02
6246.7275, 1.6600e+02
6256.7300, 1.6360e+02
6266.7330, 1.7010e+02
6276.7354, 1.7010e+02
6286.7383, 1.7010e+02
6296.7407, 1.6810e+02
6311.7450, 1.6430e+02
6331.7505, 1.6550e+02
6351.7560, 1.6600e+02
6371.7610, 1.6580e+02
6391.7666, 1.6550e+02
6411.7720, 1.6180e+02
6431.7773, 1.6250e+02
6451.7827, 1.6310e+02
6471.7880, 1.6070e+02
6491.7935, 1.5620e+02
6511.7990, 1.6100e+02
6531.8040, 1.6030e+02
6551.8096, 1.5360e+02
6571.8150, 1.3880e+02
6591.8203, 1.5530e+02
6611.8257, 1.5750e+02
6631.8310, 1.5590e+02
6651.8364, 1.5640e+02
6671.8420, 1.5390e+02
6691.8470, 1.5500e+02
6711.8525, 1.5200e+02
6731.8580, 1.5250e+02
6751.8633, 1.5140e+02
6771.8687, 1.5120e+02
6791.8740, 1.5020e+02
6811.8794, 1.4960e+02
6831.8850, 1.4830e+02
6851.8900, 1.4590e+02
6871.8955, 1.4710e+02
6891.9010, 1.4650e+02
6911.9062, 1.4520e+02
6931.9116, 1.4520e+02
6951.9170, 1.4400e+02
6971.9224, 1.4200e+02
6991.9277, 1.4290e+02
7011.9330, 1.3900e+02
7031.9385, 1.3920e+02
7051.9440, 1.4190e+02
7071.9490, 1.4040e+02
7091.9546, 1.3880e+02
7111.9600, 1.3890e+02
7131.9653, 1.3770e+02
7151.9707, 1.3700e+02
7171.9766, 1.3570e+02
7191.9820, 1.3310e+02
7211.9873, 1.3340e+02
7231.9927, 1.3510e+02
7251.9980, 1.3530e+02
7272.0034, 1.3490e+02
7292.0090, 1.3220e+02
7312.0140, 1.3290e+02
7332.0195, 1.3210e+02
7352.0250, 1.3120e+02
7372.0303, 1.3100e+02
7392.0356, 1.2810e+02
7412.0410, 1.2610e+02
7432.0464, 1.2890e+02
7452.0520, 1.2820e+02
7472.0570, 1.2860e+02
7492.0625, 1.2730e+02
7512.0680, 1.2650e+02
7532.0730, 1.2620e+02
7552.0786, 1.2580e+02
7572.0840, 1.2510e+02
7592.0894, 1.2430e+02
7612.0947, 1.2400e+02
7632.1006, 1.2440e+02
7652.1060, 1.2240e+02
7672.1113, 1.1880e+02
7692.1167, 1.2060e+02
7712.1220, 1.2070e+02
7732.1274, 1.2110e+02
7752.1330, 1.1910e+02
7772.1380, 1.1990e+02
7792.1436, 1.1900e+02
7812.1490, 1.1900e+02
7832.1543, 1.1790e+02
7852.1597, 1.1830e+02
7872.1650, 1.1800e+02
7892.1704, 1.1770e+02
7912.1760, 1.1610e+02
7932.1810, 1.1460e+02
7952.1865, 1.1370e+02
7972.1924, 1.1550e+02
7992.1978, 1.1380e+02
8012.2030, 1.1450e+02
