Wavelength,Reflectance,Unc,f
1.85,0.9678,0.0222,1.0
1.855,0.9849,0.0216,1.0
1.86,0.9942,0.0212,1.0
1.865,1.0049,0.016,1.0
1.87,0.97,0.0273,1.0
1.875,1.0,1.0,0.0
1.88,0.9684,0.021,1.0
1.885,0.974,0.0148,2.0
1.89,0.9812,0.0139,2.0
1.895,0.9838,0.0152,2.0
1.9,0.9697,0.0211,1.0
1.905,0.9668,0.0219,1.0
1.91,0.9791,0.0177,2.0
1.915,0.9733,0.0157,2.0
1.92,0.9732,0.0138,2.0
1.925,0.9648,0.0121,2.0
1.93,0.9664,0.0112,2.0
1.935,0.9682,0.0107,2.0
1.94,0.9646,0.0101,2.0
1.945,0.966,0.0098,2.0
1.95,0.9687,0.0098,2.0
1.955,0.9703,0.0099,2.0
1.96,0.9723,0.0097,2.0
1.965,0.9682,0.0092,2.0
1.97,0.9642,0.0083,2.0
1.975,0.9674,0.0077,2.0
1.98,0.9647,0.0073,2.0
1.985,0.9615,0.0071,2.0
1.99,0.9621,0.0073,2.0
1.995,0.9632,0.008,2.0
2.0,0.9669,0.0097,2.0
2.005,0.9805,0.0108,2.0
2.01,0.9848,0.0114,2.0
2.015,0.9718,0.0107,1.0
2.02,0.9878,0.0094,2.0
2.025,0.9828,0.0083,2.0
2.03,0.9823,0.0077,2.0
2.035,0.9824,0.0074,2.0
2.04,0.9826,0.0074,2.0
2.045,0.9822,0.0077,2.0
2.05,0.991,0.0082,2.0
2.055,0.9961,0.0085,2.0
2.06,0.9976,0.0087,2.0
2.065,1.0027,0.0086,2.0
2.07,1.0049,0.0086,2.0
2.075,1.0084,0.0085,2.0
2.08,1.0096,0.0081,2.0
2.085,1.0105,0.0079,2.0
2.09,1.0171,0.008,2.0
2.095,1.0206,0.008,2.0
2.1,1.0212,0.008,2.0
2.105,1.0259,0.0081,2.0
2.11,1.0313,0.0081,2.0
2.115,1.0375,0.0082,2.0
2.12,1.0381,0.0082,2.0
2.125,1.0393,0.0082,2.0
2.13,1.0432,0.0083,2.0
2.135,1.046,0.0083,2.0
2.14,1.0489,0.0084,2.0
2.145,1.0565,0.0085,2.0
2.15,1.0592,0.0085,2.0
2.155,1.0625,0.0086,2.0
2.16,1.0651,0.0087,2.0
2.165,1.0702,0.0088,2.0
2.17,1.0746,0.0088,2.0
2.175,1.0773,0.0088,2.0
2.18,1.0816,0.0088,2.0
2.185,1.0853,0.0089,2.0
2.19,1.0867,0.0089,2.0
2.195,1.0912,0.0091,2.0
2.2,1.0974,0.0094,2.0
2.205,1.104,0.0094,2.0
2.21,1.1042,0.0094,2.0
2.215,1.1076,0.0093,2.0
2.22,1.1115,0.0093,2.0
2.225,1.1116,0.0094,2.0
2.23,1.1205,0.0095,2.0
2.235,1.1223,0.0096,2.0
2.24,1.1252,0.0097,2.0
2.245,1.1312,0.0098,2.0
2.25,1.1348,0.0099,2.0
2.255,1.1386,0.01,2.0
2.26,1.1467,0.0102,2.0
2.265,1.1511,0.0103,2.0
2.27,1.1534,0.0104,2.0
2.275,1.1537,0.0104,2.0
2.28,1.1616,0.0106,2.0
2.285,1.1638,0.0107,2.0
2.29,1.1647,0.0107,2.0
2.295,1.1639,0.0109,2.0
2.3,1.1742,0.011,2.0
2.305,1.177,0.011,2.0
2.31,1.1737,0.0109,2.0
2.315,1.1803,0.0112,2.0
2.32,1.1852,0.0114,2.0
2.325,1.1924,0.0115,2.0
2.33,1.1901,0.0113,2.0
2.335,1.1921,0.0115,2.0
2.34,1.1994,0.0117,2.0
2.345,1.2024,0.012,2.0
2.35,1.187,0.0132,1.0
2.355,1.225,0.0111,1.0
2.36,1.2099,0.0121,2.0
2.365,1.2071,0.0124,2.0
2.37,1.2194,0.0129,2.0
2.375,1.2372,0.0117,1.0
2.38,1.2007,0.0141,1.0
2.385,1.2299,0.0132,2.0
2.39,1.2502,0.0121,1.0
2.395,1.2338,0.0131,2.0
2.4,1.2312,0.013,2.0
2.405,1.2341,0.0132,2.0
2.41,1.236,0.0135,2.0
2.415,1.2456,0.0138,2.0
2.42,1.2613,0.0126,1.0
2.425,1.2477,0.0137,2.0
2.43,1.0,1.0,0.0
2.435,1.2575,0.0142,2.0
2.44,1.2494,0.016,1.0
2.445,1.2511,0.0165,1.0
2.45,1.2527,0.0171,1.0
